aso_id	window_id	site_start	site_end	site_structure_class	mean_unpaired_probability	window_mfe	status	warning
ASO_4_5_2_4	ASO_4_5_2_4|ENST00000414786.7|tx5399-5816	201	218	bulge_or_junction	0.5190568017033493	-200	ok	
ASO_4_5_2_4	ASO_4_5_2_4|ENST00000673971.2|tx6095-6512	201	218	bulge_or_junction	0.5190568017033493	-200	ok	
ASO_4_5_2_4	ASO_4_5_2_4|ENST00000262795.7|tx5265-5682	201	218	bulge_or_junction	0.5190568017033493	-200	ok	
ASO_4_5_2_4	ASO_4_5_2_4|ENST00000445220.7|tx3867-4284	201	218	bulge_or_junction	0.5190568017033493	-200	ok	
ASO_4_5_2_4	ASO_4_5_2_4|ENST00000664402.2|tx3761-4178	201	218	bulge_or_junction	0.5190568017033493	-200	ok	
ASO_4_5_2_4	ASO_4_5_2_4|ENST00000710353.1|tx5782-6199	201	218	bulge_or_junction	0.5190568017033493	-200	ok	
ASO_4_5_2_6	ASO_4_5_2_6|ENST00000414786.7|tx5363-5780	201	218	bulge_or_junction	0.5189840725239234	-199.1	ok	
ASO_4_5_2_6	ASO_4_5_2_6|ENST00000673971.2|tx6059-6476	201	218	bulge_or_junction	0.5189840725239234	-199.1	ok	
ASO_4_5_2_6	ASO_4_5_2_6|ENST00000262795.7|tx5229-5646	201	218	bulge_or_junction	0.5189840725239234	-199.1	ok	
ASO_4_5_2_6	ASO_4_5_2_6|ENST00000445220.7|tx3831-4248	201	218	bulge_or_junction	0.5189840725239234	-199.1	ok	
ASO_4_5_2_6	ASO_4_5_2_6|ENST00000664402.2|tx3725-4142	201	218	bulge_or_junction	0.5189840725239234	-199.1	ok	
ASO_4_5_2_6	ASO_4_5_2_6|ENST00000659388.1|tx683-934	201	218	bulge_or_junction	0.5584106795833333	-88.2	ok	
ASO_4_5_2_6	ASO_4_5_2_6|ENST00000710353.1|tx5746-6163	201	218	bulge_or_junction	0.5189840725239234	-199.1	ok	
